company,filing_date,stage,sebi_url,discovered_at
SS RETAIL LIMITED,Sep 09 2026,pipeline,https://www.sebi.gov.in/filings/public-issues/sep-2026/ss-retail-limited-rhp_104355.html,2026-09-09T17:32:38.033378
Rentomojo Limited,Sep 04 2026,pipeline,https://www.sebi.gov.in/filings/public-issues/sep-2026/rentomojo-limited-rhp_104269.html,2026-09-09T04:10:28.000000
Jindal Supreme (India) Limited,Sep 08 2026,pipeline,https://www.sebi.gov.in/filings/public-issues/sep-2026/jindal-supreme-india-limited-rhp_104328.html,2026-09-09T04:10:25.728834
Tempsens Instruments (India) Limited,Sep 08 2026,pipeline,https://www.sebi.gov.in/filings/public-issues/sep-2026/tempsens-instruments-india-limited-rhp_104326.html,2026-09-09T04:10:26.666888
Manika Plastech Limited,Sep 07 2026,pipeline,https://www.sebi.gov.in/filings/public-issues/sep-2026/manika-plastech-limited-rhp_104296.html,2026-09-09T04:10:27.530266
Veegaland Developers Ltd.,Aug 31 2026,pipeline,https://www.sebi.gov.in/filings/public-issues/aug-2026/veegaland-developers-ltd-rhp_104160.html,2026-09-09T04:10:28.470858
Deepa Jewellers Limited,Aug 25 2026,pipeline,https://www.sebi.gov.in/filings/public-issues/aug-2026/deepa-jewellers-limited-rhp_104030.html,2026-09-09T04:10:29.432810
ESDS Software Solution Limited,Aug 25 2026,pipeline,https://www.sebi.gov.in/filings/public-issues/aug-2026/esds-software-solution-limited-rhp_103893.html,2026-09-09T04:10:30.513127
Priority Jewels Limited,Aug 24 2026,pipeline,https://www.sebi.gov.in/filings/public-issues/aug-2026/priority-jewels-limited-rhp_103896.html,2026-09-09T04:10:31.471637
LUMINO INDUSTRIES LIMITED,Aug 21 2026,pipeline,https://www.sebi.gov.in/filings/public-issues/aug-2026/lumino-industries-limited-rhp_103845.html,2026-09-09T04:10:32.370090
Rays of Belief Limited,Aug 20 2026,pipeline,https://www.sebi.gov.in/filings/public-issues/aug-2026/rays-of-belief-limited-rhp_103782.html,2026-09-09T04:10:33.304135
Annu Projects Ltd.,Aug 19 2026,pipeline,https://www.sebi.gov.in/filings/public-issues/aug-2026/annu-projects-ltd-rhp_103758.html,2026-09-09T04:10:34.147908
